Player,PER
Dave DeBusschere*,17.4
Dave Deutsch,2.4
Dave Fedor,2.2
Dave Feitl,11.9
Dave Gambee,19.5
Dave Greenwood,16.6
Dave Gunther,31.6
Dave Henderson,6.7
Dave Hoppen,13.2
Dave Jamerson,12.6
Dave Johnson,8.1
Dave Lattin,12.0
Dave Magley,3.9
Dave Meyers,15.4
Dave Minor,12.5
Dave Newmark,12.7
Dave Piontek,13.8
Dave Popson,11.6
Dave Robisch,17.9
Dave Schellhase,8.9
Dave Scholz,67.6
Dave Sorenson,15.2
Dave Stallworth,16.3
Dave Twardzik,16.3
Dave Wohl,16.0
Dave Zeller,9.1
David Andersen,13.8
David Benoit,13.9
David Burns,5.3
David Cooke,6.7
David Harrison,12.9
David Lee,24.0
David Noel,9.0
David Nwaba,12.1
David Pope,9.2
David Rivers,9.9
David Robinson*,31.0
David Stockton,10.8
David Thirdkill,15.4
David Thompson*,23.2
David Vanterpool,10.9
David Vaughn,23.3
David Wear,2.4
David Wesley,18.5
David West,20.4
David Wingate,35.8
David Wood,11.1
Davis Bertans,12.9
DeAndre Jordan,21.8
DeAndre Liggins,129.1
DeAndre' Bembry,8.8
DeJuan Blair,17.7
DeJuan Wheat,13.5
DeMar DeRozan,24.0
DeMarco Johnson,0.5
DeMarcus Cousins,26.5
DeMarcus Nelson,6.5
DeMarre Carroll,25.2
DeQuan Jones,8.4
DeSagana Diop,13.4
DeShawn Stevenson,12.9
DeWayne Scales,11.5
Dean Garrett,17.7
Dean Meminger,13.9
Dean Oliver,11.2
Dean Tolson,20.8
Dedric Willoughby,12.2
Dee Brown,17.2
Dee Gibson,
Dejounte Murray,9.6
Del Beshore,6.4
Delaney Rudd,11.8
Dell Curry,18.7
Dell Demps,17.1
Delon Wright,17.8
Delonte West,15.3
Demetris Nichols,15.7
Demetrius Calip,1.8
Demetrius Jackson,30.8
Deng Gai,0.0
Dennis Awtrey,13.5
Dennis Bell,11.2
Dennis Boyd,-4.0
Dennis DuVal,13.1
Dennis Hamilton,16.1
Dennis Hopson,17.2
Dennis Horner,6.6
Dennis Johnson*,17.0
Dennis Nutt,20.0
Dennis Rodman*,17.4
Dennis Schroder,16.1
Dennis Scott,16.3
Dennis Stewart,24.4
Denzel Valentine,7.3
DerMarr Johnson,17.3
Derek Anderson,17.1
Derek Fisher,14.8
Derek Grimm,7.9
Derek Harper,20.0
Derek Hood,-24.2
Derek Smith,21.8
Derek Strong,20.0
Dermie O'Connell,
Deron Williams,22.1
Derrek Dickey,14.0
Derrick Alston,11.8
Derrick Brown,16.0
Derrick Byars,14.9
Derrick Caracter,10.0
Derrick Chievous,13.5
Derrick Coleman,21.4
Derrick Dial,19.1
Derrick Favors,21.8
Derrick Gervin,22.9
Derrick Jones,12.0
Derrick McKey,15.7
Derrick Phelps,-17.3
Derrick Rose,23.5
Derrick Rowland,7.0
Derrick Williams,17.2
Derrick Zimmerman,5.5
Desmon Farmer,15.4
Desmond Ferguson,11.3
Desmond Mason,16.9
Desmond Penigar,12.9
Detlef Schrempf,20.3
Devean George,12.6
Devin Booker,14.6
Devin Brown,14.6
Devin Durrant,8.8
Devin Ebanks,19.4
Devin Gray,15.8
Devin Green,4.7
Devin Harris,21.6
Devyn Marble,5.9
Dewayne Dedmon,17.0
Dexter Boney,10.2
Dexter Cambridge,12.1
Dexter Pittman,17.0
Dexter Shouse,-6.8
Deyonta Davis,10.6
Diamond Stone,-1.2
Diante Garrett,9.0
Dick Atha,11.4
Dick Barnett,18.4
Dick Bunt,9.8
Dick Cunningham,11.7
Dick Dickey,9.6
Dick Duckett,8.0
Dick Farley,12.9
Dick Garmaker,16.6
Dick Garrett,11.8
Dick Gibbs,12.4
Dick Groat,18.2
Dick Hemric,13.8
Dick Knostman,17.4
Dick McGuire*,18.9
Dick Mehen,10.6
Dick Miller,4.4
Dick O'Keefe,
Dick Ricketts,10.6
Dick Rosenthal,13.7
Dick Schnittker,15.4
Dick Schulz,
Dick Snyder,17.4
Dick Surhoff,14.4
Dick Triptow,
Dick Van,16.5
Dickey Simpkins,13.4
Didier Ilunga-Mbenga,13.9
Dijon Thompson,22.0
Dike Eddleman,11.5
Dikembe Mutombo*,19.8
Dillard Crocker,13.2
Dino Radja,18.2
Dion Glover,14.0
Dion Waiters,14.5
Dionte Christmas,11.1
Dirk Minniefield,14.1
Dirk Nowitzki,28.1
Doc Rivers,20.4
Dolph Schayes*,25.4
Domantas Sabonis,6.9
Dominic McGuire,11.8
Dominic Pressley,5.9
Dominique Jones,12.4
Dominique Wilkins*,24.6
Don Ackerman,1.0
Don Adams,11.7
Don Anielak,1.8
Don Asmonga,-7.5
Don Barksdale*,16.7
Don Bielke,12.2
Don Boven,13.2
Don Buse,14.8
Don Carlson,
Don Chaney,13.6
Don Collins,15.5
Don Ford,11.7
Don Grate,
Don Hanrahan,14.1
Don Henriksen,12.9
Don Kojis,16.7
Don Lofgran,13.9
Don MacLean,17.8
Don May,17.1
Don Nelson*,18.5
Don Ohl,15.3
Don Otten,20.1
Don Putman,
Don Ray,
Don Rehfeldt,16.2
Don Reid,16.0
Don Savage,7.2
Don Smith,12.6
Don Sunderlage,12.4
Donald Hodge,13.8
Donald Royal,15.2
Donald Sloan,13.9
Donald Whiteside,7.6
Donatas Motiejunas,14.4
Donell Taylor,10.3
Donnell Harvey,35.2
Donnie Boyce,17.7
Donnie Butcher,11.4
Donnie Freeman,14.5
Donny Marshall,10.5
Donta Smith,12.7
Dontae' Jones,3.8
Donte Greene,11.8
Dontell Jefferson,12.7
Dontonio Wingfield,14.2
Donyell Marshall,19.9
Dorell Wright,16.0
Dorian Finney-Smith,7.7
Dorie Murrey,16.3
Doron Lamb,7.5
Doug Bolstorff,2.2
Doug Christie,16.9
Doug Collins,16.9
Doug Edwards,10.1
Doug Kistler,12.1
Doug Lee,18.1
Doug McDermott,11.3
Doug Overton,19.0
Doug Roth,8.2
Doug Sims,5.0
Doug Smith,13.5
Doug West,14.6
Dragan Bender,5.3
